isco_code,anzsco_code,anzsco_title
5152,811412,Domestic Housekeeper
5153,899111,Caretaker
5161,451899,Personal Service Workers nec
5162,423111,Aged or Disabled Carer
5163,451311,Funeral Director
5163,451399,Funeral Workers nec
5164,361111,Dog Handler or Trainer
5164,361112,Horse Trainer
5164,361113,Pet Groomer
5164,361114,Zookeeper
5164,361115,Kennel Hand
5164,361199,Animal Attendants and Trainers nec
5164,361311,Veterinary Nurse
5165,451211,Driving Instructor
5169,431999,Hospitality Workers nec
5169,451811,Civil Celebrant
5169,451813,Sex Worker or Escort
5169,451815,First Aid Trainer
5169,451899,Personal Service Workers nec
5211,621713,Street Vendor
5212,621713,Street Vendor
5221,142111,Retail Manager (General)
5221,142112,Antique Dealer
5221,142113,Betting Agency Manager
5221,142114,Hair or Beauty Salon Manager
5221,142115,Post Office Manager
5222,621511,Retail Supervisor
5223,621111,Sales Assistant (General)
5223,621211,ICT Sales Assistant
5223,621311,Motor Vehicle or Caravan Salesperson
5223,621312,Motor Vehicle Parts Interpreter / Automotive Parts Salesperson
5223,621411,Pharmacy Sales Assistant
5230,631111,Checkout Operator
5230,631112,Office Cashier
5230,639411,Ticket Seller
5241,639111,Model
5242,639112,Sales Demonstrator
5243,621712,Door-to-door Salesperson
5244,639311,Telemarketer
